person_id_random,birthday,gender,signup_date,fb_friend_count,current_home_years,current_home_months,living_situation,current_job_years,current_job_months,education,how_much_paid,how_often_paid,referral_source,outstanding_loan,use_mobile_wallet_how_often,relationship_status,is_employed
2683538279,8/13/1977,M,6/27/2014 1:24,616,5+,0,pay_rent,5+,0,,450,daily,friend,yes,few_times_a_week,,
9236601044,11/28/1995,M,6/30/2014 21:40,284,5+,4,pay_rent,2,1,,500,daily,,no,few_times_a_month,,
7444746096,7/3/1994,M,7/1/2014 5:43,230,1,2,pay_rent,0,11,,2500,weekly,,no,few_times_a_week,,
2668523412,4/4/1994,M,7/4/2014 7:37,1240,0,6,pay_rent,0,7,,2150,weekly,,no,few_times_a_week,,
6219345623,1/22/1976,F,7/4/2014 8:12,219,3,0,pay_rent,3,0,,20000,monthly,,yes,daily,,
4105742558,10/13/1940,F,7/4/2014 10:44,374,4,7,pay_rent,5+,0,,12000,monthly,,no,few_times_a_month,,
8397994357,12/5/1994,F,7/7/2014 7:06,174,0,3,pay_rent,0,6,,3500,weekly,,no,daily,,
7640935498,1/13/1984,M,7/8/2014 7:26,686,1,2,pay_rent,1,0,,30000,monthly,friend,yes,daily,,
7125219495,8/10/2005,M,7/8/2014 22:25,820,0,0,pay_rent,0,0,,15000,monthly,,no,few_times_a_week,,
3206224066,3/13/1994,M,7/9/2014 0:01,377,1,0,pay_rent,4,0,,9500,weekly,,no,few_times_a_week,,
8677322348,12/25/1991,M,7/12/2014 6:05,1045,3,7,pay_rent,2,6,,500,weekly,,no,few_times_a_week,,
1482204423,11/1/2012,M,7/12/2014 10:57,1432,2,0,pay_rent,1,6,,10000,monthly,,yes,daily,,
4530705086,12/14/1992,M,7/13/2014 7:17,423,0,4,pay_rent,0,4,,15000,monthly,,no,daily,,
5521864872,8/14/1995,M,7/14/2014 13:00,1615,1,0,pay_rent,1,0,,300,daily,,no,daily,,
9401390636,10/18/1992,M,7/15/2014 13:21,474,2,0,pay_rent,2,0,,300,daily,,yes,few_times_a_week,,
7780990687,10/22/1963,M,7/15/2014 13:38,294,0,0,pay_rent,0,0,,500,daily,,yes,few_times_a_week,,
7540101434,12/12/1993,M,7/16/2014 3:09,250,5+,3,pay_rent,4,2,,2800,weekly,,no,few_times_a_week,,
6526183719,3/7/1932,M,7/16/2014 4:28,,,,,,,,,,,,,,
4950043625,5/8/1995,M,7/16/2014 7:05,364,0,0,pay_rent,1,0,,1000,weekly,,no,few_times_a_week,,
1096962239,5/12/2010,M,7/17/2014 10:31,427,0,8,pay_rent,0,0,,1000,monthly,,yes,few_times_a_month,,
8128789355,5/26/2010,M,7/17/2014 23:57,355,4,7,pay_rent,3,2,,27000,monthly,,no,daily,,
1299427536,4/6/1951,F,7/18/2014 0:40,55,5+,0,own_home,3,0,,1000,daily,,no,few_times_a_week,,
2916523599,6/10/1988,M,7/18/2014 7:21,89,2,8,pay_rent,2,9,,15000,daily,,no,few_times_a_week,,
9453964086,1/11/1993,F,7/19/2014 1:31,525,2,0,pay_rent,2,0,,15000,monthly,,no,few_times_a_week,,
5482790346,1/7/1995,M,7/19/2014 3:03,435,1,7,pay_rent,1,10,,9400,weekly,,no,few_times_a_week,,
9504924784,5/1/1996,F,7/20/2014 3:58,486,1,7,own_home,1,3,,550,daily,,no,few_times_a_week,,
1512836830,7/4/2014,F,7/22/2014 0:26,489,5+,0,pay_rent,2,0,,29000,monthly,,yes,few_times_a_week,,
1612135424,5/26/1986,M,7/22/2014 1:01,810,3,6,pay_rent,4,6,,10000,monthly,facebook,no,few_times_a_week,,
3929235228,4/19/1979,M,7/22/2014 5:51,388,4,0,pay_rent,3,0,,34000,monthly,,no,few_times_a_week,,
8057731840,7/28/1993,F,7/22/2014 11:29,425,1,2,pay_rent,0,0,,700,weekly,,yes,few_times_a_week,,
4966440067,3/12/1992,F,7/24/2014 8:37,247,2,9,pay_rent,1,0,,2000,weekly,,no,few_times_a_week,,
5108315568,4/29/1987,M,7/24/2014 22:08,324,1,0,pay_rent,0,0,,28000,monthly,,yes,few_times_a_week,,
2673538543,8/12/1986,M,7/25/2014 0:08,600,3,0,pay_rent,1,0,,44000,monthly,facebook,no,few_times_a_week,,
7777626093,11/28/2010,M,7/27/2014 4:30,605,2,0,pay_rent,1,0,,30000,monthly,,no,few_times_a_week,,
3764746080,8/13/2020,F,7/28/2014 10:26,478,2,0,pay_rent,1,0,,1500,weekly,,no,few_times_a_week,,
2524200246,6/14/1989,F,7/29/2014 7:02,339,0,5,i do shopping for my home,0,0,,4500,monthly,,yes,few_times_a_week,,
7717500506,4/22/1986,F,7/30/2014 5:41,482,4,2,pay_rent,4,9,,17500,monthly,,yes,few_times_a_week,,
4042481303,9/23/1995,F,7/31/2014 5:06,614,5+,0,pay_rent,5+,0,,7500,monthly,,no,few_times_a_month,,
6295166250,4/16/1991,M,8/1/2014 4:44,1361,4,0,own_home,2,0,,7000,monthly,,no,few_times_a_month,,
8362192538,5/9/1993,M,8/1/2014 12:37,109,2,0,pay_rent,0,5,,13000,monthly,,no,few_times_a_week,,
2381042959,7/20/1982,M,8/2/2014 5:21,271,5+,0,pay_rent,4,0,,100000,monthly,google_play_store,yes,few_times_a_week,,
4421733789,7/7/1992,F,8/2/2014 9:00,1761,2,1,pay_rent,1,11,,40000,monthly,,no,daily,,
4943128258,10/24/1992,M,8/3/2014 11:05,965,1,2,pay_rent,0,6,,2500,monthly,,no,few_times_a_week,,
4088430688,8/23/1992,M,8/3/2014 23:44,145,3,6,pay_rent,0,0,,2500,daily,,no,daily,,
8806418646,12/26/1996,M,8/4/2014 10:18,564,1,0,own_home,0,3,,8000,monthly,,no,few_times_a_month,,
9725100582,1/7/1996,M,8/5/2014 23:09,120,5+,0,own_home,5+,0,,45000,monthly,,no,few_times_a_week,,
7801042321,1/3/1976,M,8/6/2014 2:14,296,0,0,own_home,5+,0,,50000,monthly,,no,daily,,
6297081953,10/29/1993,M,8/7/2014 5:09,1269,3,0,pay_rent,1,0,,18000,monthly,,yes,few_times_a_week,,
2063379792,8/26/1993,M,8/7/2014 5:50,478,0,0,stay with parents,0,0,,8000,monthly,friend,no,few_times_a_month,,
6133370972,12/6/1989,F,8/8/2014 7:34,2111,3,8,pay_rent,1,3,,23000,monthly,,no,few_times_a_week,,
8763192932,6/22/1994,M,8/10/2014 3:30,1088,3,0,pay_rent,0,4,,5000,weekly,,no,few_times_a_week,,
2662659101,9/9/1994,M,8/10/2014 11:56,507,2,3,pay_rent,0,0,,700,daily,,yes,few_times_a_week,,
1537018341,4/21/1991,M,8/10/2014 13:27,2960,2,4,pay_rent,0,0,,12000,monthly,,yes,few_times_a_week,,
1957977001,10/26/1995,M,8/11/2014 3:38,625,3,0,pay_rent,1,0,,1000,daily,,no,few_times_a_week,,
8719891162,5/10/1992,M,8/11/2014 7:10,250,2,4,own_home,2,7,,4500,weekly,,no,few_times_a_week,,
3577835738,5/15/2010,F,8/12/2014 10:02,400,2,0,pay_rent,3,0,,20000,monthly,,no,few_times_a_week,,
8425972319,11/21/1991,M,8/13/2014 0:14,4800,0,8,pay_rent,0,8,,1000,daily,,no,daily,,
4002742728,9/25/1987,F,8/13/2014 5:00,1866,0,7,own_home,1,0,,15000,monthly,friend,yes,few_times_a_month,,
5825472282,5/3/1986,M,8/13/2014 6:49,345,4,0,pay_rent,1,0,,500,daily,,no,few_times_a_week,,
9504846186,11/28/1988,M,8/13/2014 21:25,405,2,7,pay_rent,2,4,,15000,monthly,,no,few_times_a_week,,
3225694348,3/5/1987,M,8/13/2014 22:52,145,3,7,own_home,2,4,,1000,daily,,no,daily,,
1177471131,11/3/1994,M,8/13/2014 23:57,186,3,5,pay_rent,2,6,,12000,monthly,,no,daily,,
8406400743,10/28/1990,M,8/14/2014 3:05,813,0,0,i stay in my fathers built home,0,7,,2000,daily,,no,daily,,
7234829584,6/15/1990,M,8/14/2014 6:06,304,3,6,pay_rent,3,2,,600,daily,,no,few_times_a_week,,
7284641061,2/16/1995,M,8/15/2014 1:37,705,1,5,pay_rent,0,7,,800,daily,friend,no,daily,,
6897561002,3/11/1997,M,8/15/2014 7:28,416,2,5,pay_rent,3,4,,500,daily,,no,few_times_a_week,,
1090396622,7/24/2005,M,8/15/2014 13:15,832,4,0,pay_rent,0,0,,5000,monthly,,yes,few_times_a_month,,
1516706338,5/10/1989,F,8/16/2014 4:07,855,4,7,pay_rent,1,1,,6000,weekly,,no,few_times_a_week,,
2830334836,2/11/1972,M,8/17/2014 5:49,2682,3,0,own_home,3,3,,15000,weekly,family,yes,few_times_a_week,,
1316512614,9/25/1995,M,8/19/2014 5:05,790,1,5,pay_rent,1,5,,750,weekly,,no,few_times_a_week,,
9046729670,11/1/1993,M,8/20/2014 5:27,275,1,3,pay_rent,1,1,,1200,weekly,,no,few_times_a_week,,
9193097824,12/11/1996,M,8/20/2014 23:13,327,2,0,pay_rent,2,0,,30000,monthly,,no,few_times_a_week,,
9513977406,11/13/1986,M,8/22/2014 3:38,217,5+,6,Housed by employer,5+,8,,38796,monthly,,yes,few_times_a_week,,
8296490133,5/16/1994,M,8/22/2014 5:17,352,4,3,pay_rent,3,0,,16000,monthly,,no,few_times_a_week,,
3624329372,8/1/1993,M,8/22/2014 8:46,436,2,4,pay_rent,2,1,,4500,weekly,,no,few_times_a_week,,
7537202594,7/12/1984,M,8/22/2014 9:48,292,0,0,pay_rent,3,6,,30000,monthly,,no,few_times_a_week,,
3565083094,1/26/1937,M,8/22/2014 22:46,624,2,8,own_home,2,4,,32600,monthly,,no,few_times_a_week,,
3294533408,12/13/1984,M,8/22/2014 23:22,418,1,8,provided for.,3,8,,1100,daily,google_play_store,yes,daily,,
1983538252,4/28/1978,F,8/24/2014 0:06,2774,5+,0,pay_rent,5+,0,,1500,daily,family,yes,daily,,
6130454619,5/22/1986,F,8/24/2014 4:05,353,1,0,pay_rent,0,0,,20000,monthly,friend,yes,daily,,
8948452846,6/18/1992,F,8/24/2014 11:18,736,2,0,pay_rent,0,0,,10000,monthly,friend,yes,few_times_a_week,,
5534019509,10/16/1973,M,8/24/2014 13:25,422,5+,0,pay_rent,5+,0,,40000,monthly,google_play_store,no,few_times_a_week,,
8470817553,10/28/1989,F,8/25/2014 11:21,796,0,0,pay_rent,2,4,,14000,monthly,google_play_store,no,few_times_a_week,,
5638293141,12/18/1988,M,8/26/2014 3:49,100,2,3,pay_rent,3,6,,650,daily,,no,few_times_a_week,,
3219677874,5/4/1995,M,8/26/2014 7:19,27,3,3,pay_rent,3,3,,650,daily,,no,few_times_a_week,,
3584380224,3/21/1991,F,8/27/2014 3:19,465,0,0,pay_rent,1,3,,15000,weekly,,no,few_times_a_week,,
6845264174,5/7/1994,M,8/28/2014 12:43,71,3,5,pay_rent,4,7,,600,daily,,no,few_times_a_week,,
4146622581,1/24/1993,M,8/29/2014 2:46,867,0,0,pay_rent,0,0,,6000,monthly,,no,few_times_a_week,,
6461406501,12/3/1990,M,8/30/2014 10:27,1048,1,0,pay_rent,1,0,,650,daily,,yes,daily,,
7585759305,7/27/1993,F,9/6/2014 7:18,423,5+,0,pay_rent,2,3,,15000,monthly,,yes,few_times_a_week,,
9553513134,10/27/1992,M,9/14/2014 8:00,291,1,2,pay_rent,2,2,,9200,weekly,,no,few_times_a_week,,
1782793085,11/20/1987,F,9/18/2014 6:59,1631,3,0,pay_rent,4,0,,8000,monthly,facebook,yes,daily,,
2515000128,11/29/1986,F,9/18/2014 22:33,270,3,5,own_home,1,0,,17000,monthly,,yes,few_times_a_week,,
7152353641,9/14/1980,M,9/19/2014 8:07,239,5+,0,pay_rent,5+,0,,35,daily,,yes,daily,,
5095473176,7/6/1979,M,9/19/2014 23:41,779,5+,0,pay_rent,5+,0,college,90000,monthly,google_play_store,yes,daily,married,yes
6620932848,7/8/1995,M,9/20/2014 1:11,321,2,1,pay_rent,1,2,,19000,monthly,,no,few_times_a_week,,
1775406254,11/27/1992,F,9/21/2014 21:30,179,5+,5,pay_rent,2,3,,2000,weekly,,no,few_times_a_week,,
5359782636,4/5/1992,F,9/22/2014 9:07,423,1,2,pay_rent,,,college,6000,monthly,friend,no,few_times_a_month,single,no
2151054057,5/16/1988,M,9/22/2014 9:30,1370,0,10,pay_rent,1,10,,10000,monthly,,no,few_times_a_week,,
5777469792,5/25/1987,F,9/22/2014 11:15,907,2,0,own_home,2,2,,500,daily,,no,few_times_a_week,,
3110924673,6/9/1981,M,9/22/2014 12:14,254,3,4,own_home,5+,10,,35000,monthly,,no,few_times_a_week,,
7664147584,7/13/1984,M,9/22/2014 15:17,162,2,11,pay_rent,4,0,,15000,monthly,facebook,no,few_times_a_week,,
6268509017,7/11/1992,M,9/22/2014 22:01,184,2,0,pay_rent,3,0,,22000,monthly,,yes,few_times_a_week,,
8141294915,5/25/1993,F,9/24/2014 1:24,4279,0,6,pay_rent,0,7,,25000,monthly,,no,few_times_a_week,,
2278919539,9/28/1990,F,9/24/2014 10:32,2336,1,2,pay_rent,0,7,,23000,monthly,,yes,daily,,
1672596057,4/3/1989,M,9/24/2014 23:16,1442,3,9,pay_rent,3,9,,400,daily,,yes,few_times_a_week,,
3939663286,4/25/1988,F,9/25/2014 0:00,1842,3,0,pay_rent,1,0,,36000,monthly,other:am a client. my fon acted up and reloading the app,yes,few_times_a_week,,
3435646267,4/10/1995,M,9/25/2014 4:33,110,5+,0,my parents piece of land,2,0,,3000,monthly,friend,no,few_times_a_month,,
4167056538,10/15/2010,M,9/25/2014 9:07,960,4,2,own_home,2,5,,35000,monthly,,yes,daily,,
8165102081,8/28/1994,F,9/25/2014 13:38,501,2,3,pay_rent,2,2,,1500,weekly,,no,daily,,
9854161442,10/26/2020,M,9/26/2014 2:30,781,1,0,pay_rent,0,0,,500,weekly,,no,few_times_a_week,,
2552675755,7/21/1982,F,9/26/2014 2:39,143,5+,0,pay_rent,2,0,,15000,monthly,facebook,yes,few_times_a_week,,
5826558835,12/24/1990,F,9/26/2014 12:57,306,0,0,own_home,5+,0,,10000,monthly,,yes,few_times_a_week,,
8082067022,6/17/1992,M,9/27/2014 2:09,1118,5+,9,own_home,1,5,,30000,monthly,google_play_store,no,daily,,
8092607634,11/27/1988,M,9/29/2014 21:53,1841,3,5,pay_rent,2,1,,500,daily,facebook,yes,few_times_a_week,,
1280507511,4/18/1986,M,9/30/2014 9:03,328,3,2,pay_rent,2,8,,4500,weekly,,no,few_times_a_week,,
7378814827,4/22/1981,F,9/30/2014 14:34,323,0,0,pay_rent,0,0,,3000,weekly,facebook,yes,daily,,
5309412184,12/15/1984,M,10/1/2014 5:12,4879,5+,0,own_home,5+,0,,20000,daily,,no,few_times_a_week,,
1459514671,6/28/1992,M,10/1/2014 6:43,591,0,0,pay_rent,0,0,,5000,monthly,,yes,few_times_a_week,,
5085179989,9/18/1985,M,10/1/2014 8:40,288,5+,0,pay_rent,5+,0,,1800,daily,friend,yes,few_times_a_week,,
8845067238,1/7/1986,M,10/1/2014 12:40,160,1,0,own_home,2,0,,20000,monthly,facebook,yes,few_times_a_week,,
8392403933,4/25/1987,M,10/2/2014 1:26,647,3,2,pay_rent,3,4,,8500,monthly,facebook,no,few_times_a_week,,
8839970497,12/27/1982,M,10/3/2014 10:48,163,2,5,pay_rent,4,0,,600,daily,friend,yes,few_times_a_week,,
5916800459,7/16/1985,F,10/4/2014 6:36,332,3,0,pay_rent,2,1,,300,daily,,no,few_times_a_week,,
5255086303,6/9/1984,M,10/4/2014 21:00,27,2,0,pay_rent,2,0,,5000,weekly,facebook,yes,daily,,
2693128770,9/7/1989,M,10/4/2014 22:50,362,2,0,pay_rent,0,10,,21600,monthly,,no,few_times_a_week,,
8041467929,4/9/1992,M,10/6/2014 2:19,980,2,0,pay_rent,0,0,,1000,weekly,,yes,few_times_a_week,,
7549961913,12/16/1943,M,10/6/2014 9:21,1429,0,7,pay_rent,0,10,,800,daily,,no,few_times_a_week,,
7093035860,4/27/1974,F,10/6/2014 12:13,35,5+,0,pay_rent,5+,0,,800,daily,,no,daily,,
6456476162,6/13/1989,F,10/7/2014 22:11,437,2,0,pay_rent,3,0,,70000,monthly,,no,few_times_a_week,,
7318322753,11/13/2005,M,10/8/2014 1:05,719,5+,6,pay_rent,4,11,high_school,12000,monthly,friend,yes,few_times_a_week,long-term,yes
1654887836,5/2/1985,F,10/13/2014 6:20,441,2,0,pay_rent,5+,0,,2000,daily,,yes,few_times_a_week,,
8540590529,2/26/1992,M,10/13/2014 11:26,76,5+,6,pay_rent,0,0,,1000,weekly,friend,no,daily,,
5120292396,4/22/1995,M,10/14/2014 8:42,209,0,0,pay_rent,0,0,,2000,monthly,,no,few_times_a_week,,
5647000446,3/25/1984,M,10/14/2014 9:58,571,2,0,pay_rent,4,0,,800,daily,friend,yes,few_times_a_week,,
6525704875,3/27/1980,F,10/15/2014 23:26,198,0,8,pay_rent,2,0,,15000,monthly,,no,few_times_a_month,,
7958178899,10/23/1992,M,10/18/2014 7:11,55,1,6,pay_rent,1,6,,1200,daily,,no,few_times_a_week,,
1868497628,11/19/2010,M,10/20/2014 5:22,405,3,0,own_home,0,0,,1500,weekly,,no,few_times_a_week,,
2612671805,1/2/1994,M,10/20/2014 23:13,1240,1,3,pay_rent,0,0,,2500,monthly,,yes,daily,,
9047422306,1/8/1991,M,10/21/2014 11:36,423,0,6,pay_rent,0,0,,2300,monthly,,no,few_times_a_week,,
8751507835,2/22/1985,M,10/24/2014 7:25,579,1,2,pay_rent,0,8,,1000,daily,friend,no,daily,,
8210123264,3/9/1991,M,10/29/2014 3:00,189,4,6,pay_rent,5+,3,high_school,500,daily,friend,no,few_times_a_week,married,yes
5248964653,3/17/1993,M,10/30/2014 1:31,2390,3,0,pay_rent,1,0,,12000,monthly,,no,daily,,
5810007060,1/11/1995,M,10/30/2014 2:43,284,2,3,pay_rent,2,2,,750,daily,,no,daily,,
1832279919,5/10/1986,F,10/30/2014 2:53,544,4,6,pay_rent,4,5,,30000,daily,,no,few_times_a_week,,
5476885599,6/27/1995,M,10/31/2014 7:55,3125,2,0,pay_rent,0,0,,400,daily,,no,daily,,
2876398156,6/11/1990,M,11/3/2014 2:34,855,1,4,pay_rent,1,10,,4600,weekly,,yes,few_times_a_week,,
4198273826,9/19/1999,M,11/10/2014 7:25,49,4,0,own_home,2,3,,14000,monthly,,no,daily,,
1180207250,11/23/1992,M,11/10/2014 22:41,1512,2,4,pay_rent,4,2,,2500,daily,,no,few_times_a_week,,
9477378963,2/18/1994,M,11/13/2014 0:55,980,5+,1,pay_rent,0,0,,1000,weekly,,no,few_times_a_week,,
5809370917,1/19/1993,F,11/13/2014 9:27,1746,2,8,pay_rent,1,0,college,26000,monthly,friend,no,few_times_a_week,long-term,yes
3480756825,12/14/2010,M,11/14/2014 5:14,1824,3,0,pay_rent,3,0,,15000,monthly,,no,few_times_a_week,,
7555552124,7/2/1988,M,11/14/2014 9:49,537,3,5,pay_rent,0,6,,16000,monthly,other:hi guys ,yes,few_times_a_week,,
9611014004,,M,11/19/2014 22:10,63,5+,9,own_home,5+,0,,1000,daily,,no,daily,,
9200350130,,M,11/20/2014 1:04,2363,2,3,pay_rent,3,1,,8000,weekly,,no,few_times_a_week,,
9516909367,,M,11/20/2014 7:26,1676,1,0,pay_rent,0,0,,1100,daily,,yes,few_times_a_week,,
2609792976,1/28/1991,F,11/24/2014 7:16,782,3,2,pay_rent,2,5,,5600,weekly,,yes,few_times_a_month,,
9377789718,,M,11/25/2014 23:43,302,0,0,own_home,0,0,,700,daily,,no,few_times_a_week,,
9821765598,11/26/1987,M,11/27/2014 19:04,2143,2,11,pay_rent,1,9,,17500,monthly,,no,daily,,
9229511691,,M,11/28/2014 1:56,292,3,0,pay_rent,0,8,,700,daily,,no,few_times_a_week,,
4396948561,,M,12/1/2014 23:51,511,3,9,pay_rent,1,2,,1200,daily,,no,few_times_a_week,,
7419788148,,M,12/3/2014 1:10,1000,2,4,pay_rent,2,6,,25000,monthly,,no,daily,,
6149299222,,F,12/3/2014 8:04,225,3,6,pay_rent,0,0,,10000,monthly,,no,few_times_a_week,,
3753586759,,M,12/4/2014 1:25,469,5+,10,own_home,2,5,,4500,weekly,,no,daily,,
3278293306,,M,12/4/2014 23:32,140,5+,0,own_home,1,8,,18000,monthly,,no,few_times_a_month,,
7258285849,4/23/1990,M,12/5/2014 10:57,413,1,0,own_home,4,0,,700,daily,,no,few_times_a_week,,
6754950264,5/18/1981,F,12/8/2014 5:24,70,0,0,pay_rent,2,4,,1200,daily,friend,yes,few_times_a_week,,
5815782196,,M,12/8/2014 22:06,658,0,0,pay_rent,0,0,,10000,monthly,,no,few_times_a_month,,
5468470748,10/7/1989,F,12/10/2014 22:35,302,1,10,pay_rent,1,2,,1500,daily,,no,daily,,
3174864023,8/13/1991,M,12/15/2014 21:06,521,3,2,pay_rent,2,1,,1500,daily,,no,few_times_a_week,,
7930805770,11/12/1994,M,12/16/2014 10:03,866,4,2,own_home,2,1,,2200,weekly,,no,daily,,
5517270647,12/10/1994,M,12/16/2014 22:25,944,3,0,pay_rent,2,7,,800,daily,,no,daily,,
5833760454,12/5/1984,F,12/18/2014 2:27,160,5+,11,pay_rent,5+,11,college,1000,weekly,friend,yes,daily,married,yes
