,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
8230219163,2015-05-29;2015-06-08;2015-07-01;2015-07-22;2015-08-09,2015-06-08;2015-06-30;2015-07-22;2015-08-08,8/19/2015,10,5/29/2015,6/8/2015,7/1/2015,7/22/2015,8/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/8/2015,6/30/2015,7/22/2015,8/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3152634654,2015-07-17;2015-08-07,8/7/2015,8/19/2015,21,7/17/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7598871262,2015-04-09;2015-06-26;2015-07-22,2015-04-27;2015-07-20,8/19/2015,18,4/9/2015,6/26/2015,7/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/27/2015,7/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5781556178,2015-07-28;2015-08-12;2015-08-14,2015-08-12;2015-08-14,8/19/2015,15,7/28/2015,8/12/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/12/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8834809018,4/14/2015,,8/19/2015,,4/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7442299181,2015-03-25;2015-04-10;2015-04-28,2015-04-08;2015-04-28,8/19/2015,14,3/25/2015,4/10/2015,4/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/8/2015,4/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7076340710,2015-03-31;2015-06-16,6/10/2015,8/19/2015,71,3/31/2015,6/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5843534196,2015-05-30;2015-06-03;2015-06-08;2015-06-29;2015-07-15,2015-06-03;2015-06-08;2015-06-26;2015-07-15,8/19/2015,4,5/30/2015,6/3/2015,6/8/2015,6/29/2015,7/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/3/2015,6/8/2015,6/26/2015,7/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5563120467,6/9/2014,,8/19/2015,,6/9/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3225694348,8/18/2014,9/10/2014,8/19/2015,23,8/18/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389690912,2015-04-12;2015-05-12;2015-06-07;2015-07-05;2015-07-06,2015-05-04;2015-06-03;2015-07-04;2015-07-06,8/19/2015,22,4/12/2015,5/12/2015,6/7/2015,7/5/2015,7/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/4/2015,6/3/2015,7/4/2015,7/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9148351638,4/25/2015,,8/19/2015,,4/25/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784191842,2015-03-29;2015-05-05;2015-06-06;2015-07-01;2015-08-05,2015-05-05;2015-06-05;2015-07-01;2015-08-05,8/19/2015,37,3/29/2015,5/5/2015,6/6/2015,7/1/2015,8/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2015,6/5/2015,7/1/2015,8/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4239791639,2014-05-07;2014-05-27,2014-05-27;2014-06-17,8/19/2015,20,5/7/2014,5/27/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/27/2014,6/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8634554863,2015-04-15;2015-04-28;2015-05-03;2015-05-19;2015-06-28,2015-04-21;2015-05-02;2015-05-07;2015-06-12;2015-07-20,8/19/2015,6,4/15/2015,4/28/2015,5/3/2015,5/19/2015,6/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/21/2015,5/2/2015,5/7/2015,6/12/2015,7/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
7228483529,2015-05-30;2015-06-05;2015-06-19;2015-07-03;2015-07-18;2015-08-11,2015-06-05;2015-06-19;2015-07-03;2015-07-18;2015-08-05,8/19/2015,6,5/30/2015,6/5/2015,6/19/2015,7/3/2015,7/18/2015,8/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/5/2015,6/19/2015,7/3/2015,7/18/2015,8/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660359942,2015-06-23;2015-07-05,7/5/2015,8/19/2015,12,6/23/2015,7/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850039402,2015-03-29;2015-04-03;2015-04-13;2015-04-27,2015-04-03;2015-04-13;2015-04-27,8/19/2015,5,3/29/2015,4/3/2015,4/13/2015,4/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/3/2015,4/13/2015,4/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3418297468,7/5/2015,,8/19/2015,,7/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2174427212,2015-06-21;2015-06-29;2015-07-06;2015-07-13;2015-08-03,2015-06-29;2015-07-05;2015-07-13;2015-08-03,8/19/2015,8,6/21/2015,6/29/2015,7/6/2015,7/13/2015,8/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/29/2015,7/5/2015,7/13/2015,8/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562664921,2015-04-22;2015-04-26;2015-05-03,2015-04-26;2015-05-03,8/19/2015,4,4/22/2015,4/26/2015,5/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/26/2015,5/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7064844459,2015-06-23;2015-07-31;2015-08-15,2015-07-17;2015-08-14,8/19/2015,24,6/23/2015,7/31/2015,8/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/17/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112017768,5/28/2015,,8/19/2015,,5/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079511469,4/26/2015,,8/19/2015,,4/26/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5781022158,12/20/2014,,8/19/2015,,12/20/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853627736,2015-05-27;2015-06-17;2015-07-03,2015-06-17;2015-07-03,8/19/2015,21,5/27/2015,6/17/2015,7/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/17/2015,7/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8401108350,7/22/2015,,8/19/2015,,7/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7035285544,2015-06-02;2015-06-14;2015-06-17;2015-07-03;2015-07-17;2015-07-31;2015-08-10,2015-06-12;2015-06-17;2015-07-02;2015-07-17;2015-07-31;2015-08-10,8/19/2015,10,6/2/2015,6/14/2015,6/17/2015,7/3/2015,7/17/2015,7/31/2015,8/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,6/12/2015,6/17/2015,7/2/2015,7/17/2015,7/31/2015,8/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
2893571939,2015-06-05;2015-06-15;2015-06-29;2015-07-22;2015-08-15,2015-06-15;2015-06-29;2015-07-19;2015-08-14,8/19/2015,10,6/5/2015,6/15/2015,6/29/2015,7/22/2015,8/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/15/2015,6/29/2015,7/19/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7371265289,2015-04-09;2015-04-16,4/16/2015,8/19/2015,7,4/9/2015,4/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775406254,9/22/2014,,8/19/2015,,9/22/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4509848841,2015-03-11;2015-03-27;2015-04-08;2015-04-30;2015-05-20;2015-06-12;2015-07-17,2015-03-27;2015-04-05;2015-04-29;2015-05-20;2015-06-12;2015-07-17,8/19/2015,16,3/11/2015,3/27/2015,4/8/2015,4/30/2015,5/20/2015,6/12/2015,7/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,3/27/2015,4/5/2015,4/29/2015,5/20/2015,6/12/2015,7/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
9013261149,2015-05-29;2015-06-05;2015-06-11;2015-06-19;2015-07-15,2015-06-05;2015-06-10;2015-06-19;2015-07-15,8/19/2015,7,5/29/2015,6/5/2015,6/11/2015,6/19/2015,7/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/5/2015,6/10/2015,6/19/2015,7/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9500422035,2015-06-19;2015-07-21;2015-08-10,2015-07-12;2015-08-10,8/19/2015,23,6/19/2015,7/21/2015,8/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/12/2015,8/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8710405577,6/16/2015,,8/19/2015,,6/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3988203332,2015-06-09;2015-06-22;2015-06-30;2015-07-05;2015-07-12;2015-07-17;2015-07-24;2015-07-30;2015-08-05;2015-08-11;2015-08-19,2015-06-15;2015-06-29;2015-07-04;2015-07-12;2015-07-14;2015-07-22;2015-07-28;2015-08-03;2015-08-10;2015-08-19,8/19/2015,6,6/9/2015,6/22/2015,6/30/2015,7/5/2015,7/12/2015,7/17/2015,7/24/2015,7/30/2015,8/5/2015,8/11/2015,8/19/2015,,,,,,,,,,,,,,,,,,,,,,,6/15/2015,6/29/2015,7/4/2015,7/12/2015,7/14/2015,7/22/2015,7/28/2015,8/3/2015,8/10/2015,8/19/2015,,,,,,,,,,,,,,,,,,,,,,
8387614970,2015-05-21;2015-06-17;2015-07-17;2015-08-07,2015-06-09;2015-07-15;2015-08-07,8/19/2015,19,5/21/2015,6/17/2015,7/17/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/9/2015,7/15/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6526183719,7/17/2014,,8/19/2015,,7/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5331332312,2015-02-11;2015-03-11;2015-04-10;2015-05-05;2015-06-04;2015-06-27,2015-03-04;2015-04-01;2015-05-01;2015-05-25;2015-06-25;2015-07-24,8/19/2015,21,2/11/2015,3/11/2015,4/10/2015,5/5/2015,6/4/2015,6/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4/2015,4/1/2015,5/1/2015,5/25/2015,6/25/2015,7/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
8540590529,2014-10-16;2014-11-17;2014-12-07;2015-03-10;2015-04-13;2015-06-12;2015-06-30,2014-11-15;2014-12-05;2015-01-10;2015-04-03;2015-05-25;2015-06-30,8/19/2015,30,10/16/2014,11/17/2014,12/7/2014,3/10/2015,4/13/2015,6/12/2015,6/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,11/15/2014,12/5/2014,1/10/2015,4/3/2015,5/25/2015,6/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
3540597152,7/10/2015,,8/19/2015,,7/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6620932848,9/21/2014,,8/19/2015,,9/21/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795159548,7/17/2015,,8/19/2015,,7/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6872355869,2015-04-25;2015-04-26;2015-04-28;2015-05-05;2015-05-14;2015-05-26;2015-08-04,2015-04-26;2015-04-28;2015-05-04;2015-05-12;2015-05-24;2015-06-19,8/19/2015,1,4/25/2015,4/26/2015,4/28/2015,5/5/2015,5/14/2015,5/26/2015,8/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,4/26/2015,4/28/2015,5/4/2015,5/12/2015,5/24/2015,6/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,
4756053552,2015-07-24;2015-08-14,8/14/2015,8/19/2015,21,7/24/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2372935146,2015-04-03;2015-04-11;2015-04-25;2015-05-10;2015-05-22;2015-06-13,2015-04-11;2015-04-25;2015-05-10;2015-05-22;2015-06-12,8/19/2015,8,4/3/2015,4/11/2015,4/25/2015,5/10/2015,5/22/2015,6/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/11/2015,4/25/2015,5/10/2015,5/22/2015,6/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
2287514871,5/3/2014,5/24/2014,8/19/2015,21,5/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358807840,6/17/2014,,8/19/2015,,6/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7318322753,3/27/2015,,8/19/2015,,3/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6562772473,5/19/2015,,8/19/2015,,5/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8017301815,2015-07-18;2015-08-09;2015-08-13,2015-08-09;2015-08-13,8/19/2015,22,7/18/2015,8/9/2015,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/9/2015,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6540024121,2015-06-13;2015-06-22;2015-06-25;2015-07-10;2015-07-24;2015-08-05,2015-06-21;2015-06-24;2015-07-10;2015-07-23;2015-07-29,8/19/2015,8,6/13/2015,6/22/2015,6/25/2015,7/10/2015,7/24/2015,8/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/21/2015,6/24/2015,7/10/2015,7/23/2015,7/29/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463175554,2015-03-19;2015-04-10;2015-05-05;2015-05-25,2015-04-10;2015-04-30;2015-05-25;2015-06-17,8/19/2015,22,3/19/2015,4/10/2015,5/5/2015,5/25/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/10/2015,4/30/2015,5/25/2015,6/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443631847,2015-04-02;2015-04-09;2015-04-14;2015-04-21;2015-05-09,2015-04-09;2015-04-14;2015-04-21;2015-04-28,8/19/2015,7,4/2/2015,4/9/2015,4/14/2015,4/21/2015,5/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/9/2015,4/14/2015,4/21/2015,4/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8392403933,2014-10-02;2014-10-16;2014-11-04;2014-11-19;2014-12-07;2014-12-24;2015-01-07;2015-01-21;2015-01-30;2015-02-07;2015-02-16;2015-02-23;2015-03-02;2015-03-09;2015-03-17;2015-03-27;2015-04-10;2015-04-25;2015-05-09;2015-05-26;2015-06-15;2015-07-09;2015-07-31,2014-10-16;2014-11-04;2014-11-18;2014-12-07;2014-12-24;2015-01-07;2015-01-21;2015-01-30;2015-02-07;2015-02-16;2015-02-23;2015-03-02;2015-03-09;2015-03-17;2015-03-27;2015-04-10;2015-04-25;2015-05-09;2015-05-26;2015-06-15;2015-07-09;2015-07-31,8/19/2015,14,10/2/2014,10/16/2014,11/4/2014,11/19/2014,12/7/2014,12/24/2014,1/7/2015,1/21/2015,1/30/2015,2/7/2015,2/16/2015,2/23/2015,3/2/2015,3/9/2015,3/17/2015,3/27/2015,4/10/2015,4/25/2015,5/9/2015,5/26/2015,6/15/2015,7/9/2015,7/31/2015,,,,,,,,,,,10/16/2014,11/4/2014,11/18/2014,12/7/2014,12/24/2014,1/7/2015,1/21/2015,1/30/2015,2/7/2015,2/16/2015,2/23/2015,3/2/2015,3/9/2015,3/17/2015,3/27/2015,4/10/2015,4/25/2015,5/9/2015,5/26/2015,6/15/2015,7/9/2015,7/31/2015,,,,,,,,,,
3686319819,2015-07-08;2015-07-13;2015-08-08,2015-07-13;2015-08-03,8/19/2015,5,7/8/2015,7/13/2015,8/8/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/13/2015,8/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3818103704,2015-03-30;2015-04-14;2015-06-02;2015-07-09;2015-08-14,2015-04-05;2015-04-27;2015-06-23;2015-07-28,8/19/2015,6,3/30/2015,4/14/2015,6/2/2015,7/9/2015,8/14/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/5/2015,4/27/2015,6/23/2015,7/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804388965,2015-03-29;2015-04-15;2015-04-30,2015-04-15;2015-04-29,8/19/2015,17,3/29/2015,4/15/2015,4/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/15/2015,4/29/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5815782196,12/11/2014,,8/19/2015,,12/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288086652,2015-07-08;2015-07-15;2015-07-21;2015-08-07,2015-07-14;2015-07-16;2015-07-27;2015-08-12,8/19/2015,6,7/8/2015,7/15/2015,7/21/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/14/2015,7/16/2015,7/27/2015,8/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048210603,2/28/2015,,8/19/2015,,2/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4792563816,2015-05-29;2015-06-09,6/9/2015,8/19/2015,11,5/29/2015,6/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6374813065,2015-07-02;2015-07-14;2015-07-22;2015-07-30;2015-08-06;2015-08-17,2015-07-14;2015-07-21;2015-07-28;2015-08-06;2015-08-17,8/19/2015,12,7/2/2015,7/14/2015,7/22/2015,7/30/2015,8/6/2015,8/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/14/2015,7/21/2015,7/28/2015,8/6/2015,8/17/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
6687103750,2015-01-21;2015-02-12;2015-03-01;2015-03-07;2015-04-28,2015-02-04;2015-02-28;2015-03-06;2015-04-28,8/19/2015,14,1/21/2015,2/12/2015,3/1/2015,3/7/2015,4/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/4/2015,2/28/2015,3/6/2015,4/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6491386882,2015-03-19;2015-06-20,2015-04-09;2015-07-11,8/19/2015,21,3/19/2015,6/20/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/9/2015,7/11/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9973267281,2015-03-23;2015-04-10;2015-04-18,2015-04-10;2015-04-18,8/19/2015,18,3/23/2015,4/10/2015,4/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/10/2015,4/18/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4042825054,2015-04-27;2015-05-05;2015-05-23;2015-06-17;2015-08-07,2015-05-02;2015-05-13;2015-06-15;2015-07-15,8/19/2015,5,4/27/2015,5/5/2015,5/23/2015,6/17/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/2/2015,5/13/2015,6/15/2015,7/15/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6917193248,2015-03-17;2015-04-09,4/7/2015,8/19/2015,21,3/17/2015,4/9/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3752805269,2015-06-27;2015-07-17;2015-08-07,2015-07-17;2015-08-07,8/19/2015,20,6/27/2015,7/17/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/17/2015,8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5903857819,1/29/2015,,8/19/2015,,1/29/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5570008040,2015-07-15;2015-07-20;2015-07-21;2015-07-31,2015-07-20;2015-07-21;2015-07-31,8/19/2015,5,7/15/2015,7/20/2015,7/21/2015,7/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/20/2015,7/21/2015,7/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612671805,10/24/2014,,8/19/2015,,10/24/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4746602099,7/24/2015,8/13/2015,8/19/2015,20,7/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/13/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733220813,2015-07-14;2015-08-08;2015-08-16,2015-08-04;2015-08-16,8/19/2015,21,7/14/2015,8/8/2015,8/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/4/2015,8/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5377931105,2014-06-16;2014-10-22;2014-11-09;2014-12-20,2014-07-07;2014-11-05;2014-12-17,8/19/2015,21,6/16/2014,10/22/2014,11/9/2014,12/20/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/7/2014,11/5/2014,12/17/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
